ID,MAX SPEED,MAX SPEED DATE TIME,MIN SPEED,TRAFFIC TOTAL UPPER ERROR LIMIT,TRAFFIC TOTAL LOWER ERROR LIMIT,TRAFFIC TOTAL UPPER WARNING LIMIT,TRAFFIC TOTAL LOWER WARNING LIMIT
5374,< 0.01,17-03-2024 01:09,< 0.01,800,not_set,700,not_set
10513,0.02 Mbit/s,17-03-2024 01:14,< 0.01,800,not_set,700,not_set
10855,2.53 Mbit/s,17-03-2024 05:46,0.04 Mbit/s,800,not_set,700,not_set
10540,0.38 Mbit/s,17-03-2024 05:22,< 0.01,800,not_set,700,not_set
10526,< 0.01,17-03-2024 06:45,< 0.01,800,not_set,700,not_set
7387,< 0.01,17-03-2024 00:39,< 0.01,800,not_set,700,not_set
7289,< 0.01,17-03-2024 04:40,< 0.01,800,not_set,700,not_set
6540,< 0.01,17-03-2024 01:33,< 0.01,800,not_set,700,not_set
6547,< 0.01,17-03-2024 06:25,< 0.01,800,not_set,700,not_set
2606,< 0.01,17-03-2024 06:20,< 0.01,800,not_set,700,not_set
2601,< 0.01,17-03-2024 04:46,< 0.01,800,not_set,700,not_set
