"Date Time","Date Time(RAW)","Traffic Total (Volume)","Traffic Total (Volume)(RAW)","Traffic Total (Speed)","Traffic Total (Speed)(RAW)","Traffic In (Volume)","Traffic In (Volume)(RAW)","Traffic In (Speed)","Traffic In (Speed)(RAW)","Traffic Out (Volume)","Traffic Out (Volume)(RAW)","Traffic Out (Speed)","Traffic Out (Speed)(RAW)","Unicast In (Volume)","Unicast In (Volume)(RAW)","Unicast In (Speed)","Unicast In (Speed)(RAW)","Unicast Out (Volume)","Unicast Out (Volume)(RAW)","Unicast Out (Speed)","Unicast Out (Speed)(RAW)","Multicast In (Volume)","Multicast In (Volume)(RAW)","Multicast In (Speed)","Multicast In (Speed)(RAW)","Multicast Out (Volume)","Multicast Out (Volume)(RAW)","Multicast Out (Speed)","Multicast Out (Speed)(RAW)","Broadcast In (Volume)","Broadcast In (Volume)(RAW)","Broadcast In (Speed)","Broadcast In (Speed)(RAW)","Broadcast Out (Volume)","Broadcast Out (Volume)(RAW)","Broadcast Out (Speed)","Broadcast Out (Speed)(RAW)","Errors In (Volume)","Errors In (Volume)(RAW)","Errors In (Speed)","Errors In (Speed)(RAW)","Errors Out (Volume)","Errors Out (Volume)(RAW)","Errors Out (Speed)","Errors Out (Speed)(RAW)","Discards In (Volume)","Discards In (Volume)(RAW)","Discards In (Speed)","Discards In (Speed)(RAW)","Discards Out (Volume)","Discards Out (Volume)(RAW)","Discards Out (Speed)","Discards Out (Speed)(RAW)","Unknown Protocols In (Volume)","Unknown Protocols In (Volume)(RAW)","Unknown Protocols In (Speed)","Unknown Protocols In (Speed)(RAW)","Coverage","Coverage(RAW)"
"12-03-2024 18:20:00","45363.5347228241","30 MB","30998118.0000","4.13 Mbit/s","516721.4202","","1330.0000","","22.1704","30 MB","30996788.0000","4.13 Mbit/s","516699.2499","0 #","0.0000","0 #/s","0.0000","109,948 #","109948.0000","1,833 #/s","1832.7721","9 #","9.0000","0.15 #/s","0.1500","10 #","10.0000","0.17 #/s","0.1667","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","100 %","0000010000"
"12-03-2024 18:21:00","45363.5354174074","41 MB","42822184.0000","5.71 Mbit/s","713584.1360","","810.0000","","13.4978","41 MB","42821374.0000","5.71 Mbit/s","713570.6382","0 #","0.0000","0 #/s","0.0000","192,823 #","192823.0000","3,213 #/s","3213.1811","7 #","7.0000","0.12 #/s","0.1166","9 #","9.0000","0.15 #/s","0.1500","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","100 %","0000010000"
"12-03-2024 18:22:00","45363.5361117824","34 MB","36098824.0000","4.81 Mbit/s","601747.3579","","708.0000","","11.8020","34 MB","36098116.0000","4.81 Mbit/s","601735.5559","0 #","0.0000","0 #/s","0.0000","173,578 #","173578.0000","2,893 #/s","2893.4489","6 #","6.0000","0.10 #/s","0.1000","7 #","7.0000","0.12 #/s","0.1167","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","100 %","0000010000"
"12-03-2024 18:23:00","45363.5368065162","34 MB","35270519.0000","4.70 Mbit/s","587646.1013","","708.0000","","11.7961","34 MB","35269811.0000","4.70 Mbit/s","587634.3052","0 #","0.0000","0 #/s","0.0000","186,163 #","186163.0000","3,102 #/s","3101.6828","6 #","6.0000","0.10 #/s","0.1000","7 #","7.0000","0.12 #/s","0.1166","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","100 %","0000010000"
"12-03-2024 18:24:00","45363.5375007639","36 MB","38235356.0000","5.10 Mbit/s","637468.4228","","826.0000","","13.7713","36 MB","38234530.0000","5.10 Mbit/s","637454.6516","0 #","0.0000","0 #/s","0.0000","188,805 #","188805.0000","3,148 #/s","3147.7993","7 #","7.0000","0.12 #/s","0.1167","7 #","7.0000","0.12 #/s","0.1167","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","100 %","0000010000"
"12-03-2024 18:25:00","45363.5381951157","30 MB","31723740.0000","4.23 Mbit/s","528817.1362","","708.0000","","11.8020","30 MB","31723032.0000","4.23 Mbit/s","528805.3342","0 #","0.0000","0 #/s","0.0000","182,637 #","182637.0000","3,044 #/s","3044.4574","6 #","6.0000","0.10 #/s","0.1000","8 #","8.0000","0.13 #/s","0.1334","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","100 %","0000010000"
"12-03-2024 18:26:00","45363.5388894792","27 MB","28104109.0000","3.75 Mbit/s","468479.8966","","708.0000","","11.8020","27 MB","28103401.0000","3.75 Mbit/s","468468.0947","0 #","0.0000","0 #/s","0.0000","48,053 #","48053.0000","801 #/s","801.0168","6 #","6.0000","0.10 #/s","0.1000","7 #","7.0000","0.12 #/s","0.1167","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","100 %","0000010000"
"12-03-2024 18:27:00","45363.5395839699","24 MB","25345885.0000","3.38 Mbit/s","422431.4167","","708.0000","","11.8000","24 MB","25345177.0000","3.38 Mbit/s","422419.6167","0 #","0.0000","0 #/s","0.0000","28,715 #","28715.0000","479 #/s","478.5833","6 #","6.0000","0.10 #/s","0.1000","7 #","7.0000","0.12 #/s","0.1167","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","100 %","0000010000"
"12-03-2024 18:28:00","45363.5402783796","22 MB","23243454.0000","3.10 Mbit/s","387455.4759","","708.0000","","11.8020","22 MB","23242746.0000","3.10 Mbit/s","387443.6739","0 #","0.0000","0 #/s","0.0000","29,018 #","29018.0000","484 #/s","483.7140","6 #","6.0000","0.10 #/s","0.1000","7 #","7.0000","0.12 #/s","0.1167","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","100 %","0000010000"
"12-03-2024 18:29:00","45363.5409728935","21 MB","21778956.0000","2.90 Mbit/s","362982.6000","","826.0000","","13.7667","21 MB","21778130.0000","2.90 Mbit/s","362968.8333","0 #","0.0000","0 #/s","0.0000","26,822 #","26822.0000","447 #/s","447.0333","7 #","7.0000","0.12 #/s","0.1167","8 #","8.0000","0.13 #/s","0.1333","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","100 %","0000010000"
