Device Name,Device ID,Sensor Name,Sensor ID
"{isp-tp-192-168-101-247} (192.168.101.247) [EdgeCoreS5520-18X] @""Rack_B4 -TP-1st Floor""",3005,TCL_GW: 14.143.129.177 Eth-1/16 (Bandwidth - 1 Gbps) {Circuit ID-091MUMB0300A0094582} [MuX: 10.23.13.188_GE/FE-1-2-6],7940
"{isp-tp-192-168-101-247} (192.168.101.247) [EdgeCoreS5520-18X] @""Rack_B4 -TP-1st Floor""",3005,Eth-1/15_JIO_ILL_2G_CKT_ID_9336024697_778740107172,9984
{isp-tp-192-168-101-248} (192.168.101.248) [EdgeCoreS5520-18X] @Rack_B4[TP-1st Floor],2643,Syslog Receiver,3545
{isp-tp-192-168-101-248} (192.168.101.248) [EdgeCoreS5520-18X] @Rack_B4[TP-1st Floor],2643,Uptime,3575
{isp-tp-192-168-101-248} (192.168.101.248) [EdgeCoreS5520-18X] @Rack_B4[TP-1st Floor],2643,CPU Utilization,4773
{isp-tp-192-168-101-248} (192.168.101.248) [EdgeCoreS5520-18X] @Rack_B4[TP-1st Floor],2643,Memory Free,4778
{isp-tp-192-168-101-248} (192.168.101.248) [EdgeCoreS5520-18X] @Rack_B4[TP-1st Floor],2643,Thermal Detector 1,4786
{isp-tp-192-168-101-248} (192.168.101.248) [EdgeCoreS5520-18X] @Rack_B4[TP-1st Floor],2643,Thermal Detector 2,4791
{isp-tp-192-168-101-248} (192.168.101.248) [EdgeCoreS5520-18X] @Rack_B4[TP-1st Floor],2643,Fan 1 speed,4800
{isp-tp-192-168-101-248} (192.168.101.248) [EdgeCoreS5520-18X] @Rack_B4[TP-1st Floor],2643,Fan 2 speed,4805
{isp-tp-192-168-101-248} (192.168.101.248) [EdgeCoreS5520-18X] @Rack_B4[TP-1st Floor],2643,Fan 3 speed,4810
{isp-tp-192-168-101-248} (192.168.101.248) [EdgeCoreS5520-18X] @Rack_B4[TP-1st Floor],2643,Eth1/16_GW-182.78.48.9_AIRTEL_to 0/0/0/5_100.64.88.10_CKT_ID-230621100032262,7943
{isp-wr-tp-192-168-101-221} (192.168.101.221) [CCR-CCR1072-1G-8S+] @Rack_B4 [TP-1st Floor],3891,(001) sfp-sfpplus1-TATA Traffic,11142
{isp-wr-tp-192-168-101-221} (192.168.101.221) [CCR-CCR1072-1G-8S+] @Rack_B4 [TP-1st Floor],3891,(002) sfp-sfpplus2-AIRTEL Traffic,11143
{isp-wr-tp-192-168-101-221} (192.168.101.221) [CCR-CCR1072-1G-8S+] @Rack_B4 [TP-1st Floor],3891,(003) sfp-sfpplus3-JIO Traffic,11144
{isp-wr-tp-192-168-101-221} (192.168.101.221) [CCR-CCR1072-1G-8S+] @Rack_B4 [TP-1st Floor],3891,(004) sfp-sfpplus4 Traffic,11145
{isp-wr-tp-192-168-101-221} (192.168.101.221) [CCR-CCR1072-1G-8S+] @Rack_B4 [TP-1st Floor],3891,(005) sfp-sfpplus5 Traffic,11146
{isp-wr-tp-192-168-101-221} (192.168.101.221) [CCR-CCR1072-1G-8S+] @Rack_B4 [TP-1st Floor],3891,(006) sfp-sfpplus6 Traffic,11147
{isp-wr-tp-192-168-101-221} (192.168.101.221) [CCR-CCR1072-1G-8S+] @Rack_B4 [TP-1st Floor],3891,Syslog Receiver,11148
{isp-wr-tp-192-168-101-221} (192.168.101.221) [CCR-CCR1072-1G-8S+] @Rack_B4 [TP-1st Floor],3891,Uptime,11149
{isp-wr-tp-192-168-101-221} (192.168.101.221) [CCR-CCR1072-1G-8S+] @Rack_B4 [TP-1st Floor],3891,SNMP CPU Load,11150
{isp-wr-tp-192-168-101-221} (192.168.101.221) [CCR-CCR1072-1G-8S+] @Rack_B4 [TP-1st Floor],3891,Disk Free: system disk,11151
{isp-wr-tp-192-168-101-221} (192.168.101.221) [CCR-CCR1072-1G-8S+] @Rack_B4 [TP-1st Floor],3891,Memory: main memory,11152
{isp-wr-tp-192-168-101-222} (192.168.101.222) [CCR-CCR1072-1G-8S+] @Rack_B4 [TP-1st Floor],3892,(001) sfp-sfpplus1-TATA Traffic,11153
{isp-wr-tp-192-168-101-222} (192.168.101.222) [CCR-CCR1072-1G-8S+] @Rack_B4 [TP-1st Floor],3892,(002) sfp-sfpplus2-AIRTEL Traffic,11154
{isp-wr-tp-192-168-101-222} (192.168.101.222) [CCR-CCR1072-1G-8S+] @Rack_B4 [TP-1st Floor],3892,(003) sfp-sfpplus3-JIO Traffic,11155
{isp-wr-tp-192-168-101-222} (192.168.101.222) [CCR-CCR1072-1G-8S+] @Rack_B4 [TP-1st Floor],3892,(004) sfp-sfpplus4 Traffic,11156
{isp-wr-tp-192-168-101-222} (192.168.101.222) [CCR-CCR1072-1G-8S+] @Rack_B4 [TP-1st Floor],3892,(005) sfp-sfpplus5 Traffic,11157
{isp-wr-tp-192-168-101-222} (192.168.101.222) [CCR-CCR1072-1G-8S+] @Rack_B4 [TP-1st Floor],3892,(006) sfp-sfpplus6 Traffic,11158
{isp-wr-tp-192-168-101-222} (192.168.101.222) [CCR-CCR1072-1G-8S+] @Rack_B4 [TP-1st Floor],3892,Uptime,11159
{isp-wr-tp-192-168-101-222} (192.168.101.222) [CCR-CCR1072-1G-8S+] @Rack_B4 [TP-1st Floor],3892,CPU Load,11161
{isp-wr-tp-192-168-101-222} (192.168.101.222) [CCR-CCR1072-1G-8S+] @Rack_B4 [TP-1st Floor],3892,Disk Free: system disk,11162
{isp-wr-tp-192-168-101-222} (192.168.101.222) [CCR-CCR1072-1G-8S+] @Rack_B4 [TP-1st Floor],3892,Memory: main memory,11163
{isp-wr-tp-192-168-101-222} (192.168.101.222) [CCR-CCR1072-1G-8S+] @Rack_B4 [TP-1st Floor],3892,Syslog Receiver,11164
{BKC-ISP-WR-40-250} (121.241.40.250) [RB1100x4] @Rack_ [ ],9927,Uptime,9929
{BKC-ISP-WR-40-250} (121.241.40.250) [RB1100x4] @Rack_ [ ],9927,(001) BKC_TCL_121.241.40.250_Traffic,9930
{BKC-ISP-WR-40-250} (121.241.40.250) [RB1100x4] @Rack_ [ ],9927,(031) WAN_Bridge Traffic,9931
{BKC-ISP-WR-40-250} (121.241.40.250) [RB1100x4] @Rack_ [ ],9927,(005) RAGHUNANDAN 121.241.40.254 Traffic,10079
{BKC-ISP-WR-40-250} (121.241.40.250) [RB1100x4] @Rack_ [ ],9927,Syslog Receiver,10086
{BKC-ISP-WR-40-250} (121.241.40.250) [RB1100x4] @Rack_ [ ],9927,CPU,10901
{BKC-ISP-WR-40-250} (121.241.40.250) [RB1100x4] @Rack_ [ ],9927,Memory: main memory,10902
{BKC-ISP-WR-40-250} (121.241.40.250) [RB1100x4] @Rack_ [ ],9927,(006) EASTINDIA 121.241.40.253 Traffic,10917
{BKC-ISP-WR-40-250} (121.241.40.250) [RB1100x4] @Rack_ [ ],9927,(007) KIFS 121.241.40.252 Traffic,10918
{BKC-ISP-WR-40-250} (121.241.40.250) [RB1100x4] @Rack_ [ ],9927,(008) AFFILIANCE 121.241.40.251 Traffic,10919
{isp-wr-tp-192-168-101-223} (192.168.101.223) [CCR2116-12G-4S+] @Rack_ [TP-],10099,CPU,10113
{isp-wr-tp-192-168-101-223} (192.168.101.223) [CCR2116-12G-4S+] @Rack_ [TP-],10099,Memory,10116
{isp-wr-tp-192-168-101-223} (192.168.101.223) [CCR2116-12G-4S+] @Rack_ [TP-],10099,Disk Free,10114
{isp-wr-tp-192-168-101-223} (192.168.101.223) [CCR2116-12G-4S+] @Rack_ [TP-],10099,Uptime,10104
{isp-wr-tp-192-168-101-223} (192.168.101.223) [CCR2116-12G-4S+] @Rack_ [TP-],10099,Loopback: 10.10.223.1,11015
{isp-wr-tp-192-168-101-223} (192.168.101.223) [CCR2116-12G-4S+] @Rack_ [TP-],10099,Mgmt: 192.168.101.223 Eth-13_to_???????,11014
{isp-wr-tp-192-168-101-223} (192.168.101.223) [CCR2116-12G-4S+] @Rack_ [TP-],10099,TCL_BGP: 14.143.129.180 Port:SFP+_01 (Bandwidth - 1 Gbps) [192.168.101.147_SFP+_16],10108
{isp-wr-tp-192-168-101-223} (192.168.101.223) [CCR2116-12G-4S+] @Rack_ [TP-],10099,Airtel-182.78.48.12 SFP+_02 _to_ 192.168.101.24x_Eth-?,10109
{isp-wr-tp-192-168-101-223} (192.168.101.223) [CCR2116-12G-4S+] @Rack_ [TP-],10099,Jio-115.243.72.4 SFP+_03 _to_ 192.168.101.24x_Eth-?,10110
{isp-wr-tp-192-168-101-223} (192.168.101.223) [CCR2116-12G-4S+] @Rack_ [TP-],10099,OSPF: 172.16.15.223 Eth-3 to MT-224_Eth-3: 172.16.15.224,10947
{isp-wr-tp-192-168-101-223} (192.168.101.223) [CCR2116-12G-4S+] @Rack_ [TP-],10099,Syslog Receiver,10694
{isp-wr-tp-192-168-101-224} (192.168.101.224) [CCR2116-12G-4S+] @Rack_ [TP-],10100,Uptime,10118
{isp-wr-tp-192-168-101-224} (192.168.101.224) [CCR2116-12G-4S+] @Rack_ [TP-],10100,Mgmt: 192.168.101.224 Eth-13_to_???????,10119
{isp-wr-tp-192-168-101-224} (192.168.101.224) [CCR2116-12G-4S+] @Rack_ [TP-],10100,Loopback: 10.10.224.1,10125
{isp-wr-tp-192-168-101-224} (192.168.101.224) [CCR2116-12G-4S+] @Rack_ [TP-],10100,TCL-14.143.129.181 SFP+_01 _to_ 192.168.101.24x_Eth-?,10120
{isp-wr-tp-192-168-101-224} (192.168.101.224) [CCR2116-12G-4S+] @Rack_ [TP-],10100,Airtel-182.78.48.13 SFP+_02 _to_ 192.168.101.24x_Eth-?,10121
{isp-wr-tp-192-168-101-224} (192.168.101.224) [CCR2116-12G-4S+] @Rack_ [TP-],10100,Jio-115.243.72.5 SFP+_03 _to_ 192.168.101.24x_Eth-?,10122
{isp-wr-tp-192-168-101-224} (192.168.101.224) [CCR2116-12G-4S+] @Rack_ [TP-],10100,CPU Load,10129
{isp-wr-tp-192-168-101-224} (192.168.101.224) [CCR2116-12G-4S+] @Rack_ [TP-],10100,Disk Free: system disk,10127
{isp-wr-tp-192-168-101-224} (192.168.101.224) [CCR2116-12G-4S+] @Rack_ [TP-],10100,Memory: main memory,10133
{isp-wr-tp-192-168-101-224} (192.168.101.224) [CCR2116-12G-4S+] @Rack_ [TP-],10100,Syslog Receiver,10695
{isp-wr-tp-192-168-101-224} (192.168.101.224) [CCR2116-12G-4S+] @Rack_ [TP-],10100,OSPF: 172.16.15.224 Eth-3 to MT-224_Eth-3: 172.16.15.223,10948
{isp-wr-tp-192-168-101-225} (192.168.101.225) [CCR2116-12G-4S+] @Rack_ [TP-],10101,Uptime,10128
{isp-wr-tp-192-168-101-225} (192.168.101.225) [CCR2116-12G-4S+] @Rack_ [TP-],10101,(003) ether1_to_MT-223-eth1 Traffic,10131
{isp-wr-tp-192-168-101-225} (192.168.101.225) [CCR2116-12G-4S+] @Rack_ [TP-],10101,Eth-2_to_MT-224-Eth-1,10132
{isp-wr-tp-192-168-101-225} (192.168.101.225) [CCR2116-12G-4S+] @Rack_ [TP-],10101,(008) ether6_to_101.250_gi23 Traffic,10134
{isp-wr-tp-192-168-101-225} (192.168.101.225) [CCR2116-12G-4S+] @Rack_ [TP-],10101,Disk Free: system disk,10141
{isp-wr-tp-192-168-101-225} (192.168.101.225) [CCR2116-12G-4S+] @Rack_ [TP-],10101,CPU Load,10146
{isp-wr-tp-192-168-101-225} (192.168.101.225) [CCR2116-12G-4S+] @Rack_ [TP-],10101,Memory: main memory,10152
{isp-wr-tp-192-168-101-225} (192.168.101.225) [CCR2116-12G-4S+] @Rack_ [TP-],10101,Syslog Receiver,10696
{isp-wr-tp-192-168-101-225} (192.168.101.225) [CCR2116-12G-4S+] @Rack_ [TP-],10101,SFP+_4_to_MT-223_SFP+_4,10940
{isp-wr-tp-192-168-101-225} (192.168.101.225) [CCR2116-12G-4S+] @Rack_ [TP-],10101,Eth-5_to_MT-226_Eth-5,10949
{isp-wr-tp-192-168-101-226} (192.168.101.226) [CCR2116-12G-4S+] @Rack_ [TP-],10102,Uptime,10140
{isp-wr-tp-192-168-101-226} (192.168.101.226) [CCR2116-12G-4S+] @Rack_ [TP-],10102,(003) ether1_to_MT-223_eth2 Traffic,10142
{isp-wr-tp-192-168-101-226} (192.168.101.226) [CCR2116-12G-4S+] @Rack_ [TP-],10102,(004) ether2_to_MT-224_eth2 Traffic,10143
{isp-wr-tp-192-168-101-226} (192.168.101.226) [CCR2116-12G-4S+] @Rack_ [TP-],10102,(008) ether6_to_101.250_gi24 Traffic,10144
{isp-wr-tp-192-168-101-226} (192.168.101.226) [CCR2116-12G-4S+] @Rack_ [TP-],10102,Disk Free: system disk,10153
{isp-wr-tp-192-168-101-226} (192.168.101.226) [CCR2116-12G-4S+] @Rack_ [TP-],10102,CPU Load,10154
{isp-wr-tp-192-168-101-226} (192.168.101.226) [CCR2116-12G-4S+] @Rack_ [TP-],10102,Memory: main memory,10155
{isp-wr-tp-192-168-101-226} (192.168.101.226) [CCR2116-12G-4S+] @Rack_ [TP-],10102,Syslog Receiver,10697
{isp-wr-tp-192-168-101-226} (192.168.101.226) [CCR2116-12G-4S+] @Rack_ [TP-],10102,Eth-5_to_MT-225_Eth-5,10952
{isp-wr-tp-192-168-101-226} (192.168.101.226) [CCR2116-12G-4S+] @Rack_ [TP-],10102,(005) sfp-sfpplus4 Traffic,10955
{ill-sw-tp-192.168.101.232} (192.168.101.232) [Cisco-WS-C3560X-48T-S] @Rack_L15 [TP-GF],5133,Uptime,5166
{ill-sw-tp-192.168.101.232} (192.168.101.232) [Cisco-WS-C3560X-48T-S] @Rack_L15 [TP-GF],5133,CPU Load,5190
{ill-sw-tp-192.168.101.232} (192.168.101.232) [Cisco-WS-C3560X-48T-S] @Rack_L15 [TP-GF],5133,Syslog Receiver,5199
{ill-sw-tp-192.168.101.232} (192.168.101.232) [Cisco-WS-C3560X-48T-S] @Rack_L15 [TP-GF],5133,System Health CPU,6651
{ill-sw-tp-192.168.101.232} (192.168.101.232) [Cisco-WS-C3560X-48T-S] @Rack_L15 [TP-GF],5133,System Health Fans,6653
{ill-sw-tp-192.168.101.232} (192.168.101.232) [Cisco-WS-C3560X-48T-S] @Rack_L15 [TP-GF],5133,System Health Memory,6655
{ill-sw-tp-192.168.101.232} (192.168.101.232) [Cisco-WS-C3560X-48T-S] @Rack_L15 [TP-GF],5133,System Health Power Supplies,6654
{ill-sw-tp-192.168.101.232} (192.168.101.232) [Cisco-WS-C3560X-48T-S] @Rack_L15 [TP-GF],5133,System Health Temperatures,6652
{ill-sw-tp-192.168.101.232} (192.168.101.232) [Cisco-WS-C3560X-48T-S] @Rack_L15 [TP-GF],5133,Gi1/3 to Gi1/3_ill-sw-tp-192.168.101.231,7937
{ill-sw-tp-192.168.101.232} (192.168.101.232) [Cisco-WS-C3560X-48T-S] @Rack_L15 [TP-GF],5133,Gi1/4 to Gi1/4_ill-sw-tp-192.168.101.231,7938
{ill-sw-tp-192.168.101.232} (192.168.101.232) [Cisco-WS-C3560X-48T-S] @Rack_L15 [TP-GF],5133,MICROTIK_101.226_SFPPLUS1 Traffic,10443
{ill-sw-tp-192.168.101.232} (192.168.101.232) [Cisco-WS-C3560X-48T-S] @Rack_L15 [TP-GF],5133,UPLINK_TO_LKP_RACK-K14_FW Traffic,10465
{ill-sw-tp-192.168.101.232} (192.168.101.232) [Cisco-WS-C3560X-48T-S] @Rack_L15 [TP-GF],5133,SNMP Trap Receiver,10606
{ill-sw-tp-192.168.101.232} (192.168.101.232) [Cisco-WS-C3560X-48T-S] @Rack_L15 [TP-GF],5133,System Health Currents,10911
{ill-sw-tp-192.168.101.232} (192.168.101.232) [Cisco-WS-C3560X-48T-S] @Rack_L15 [TP-GF],5133,System Health Other,10912
{ill-sw-tp-192.168.101.232} (192.168.101.232) [Cisco-WS-C3560X-48T-S] @Rack_L15 [TP-GF],5133,System Health Voltages,10910
{ill-sw-tp-192.168.101.232} (192.168.101.232) [Cisco-WS-C3560X-48T-S] @Rack_L15 [TP-GF],5133,(10147) SW_TO_SW_PO1_101.231_Gi1/3 Traffic,10945
{ill-sw-tp-192.168.101.232} (192.168.101.232) [Cisco-WS-C3560X-48T-S] @Rack_L15 [TP-GF],5133,(10148) SW_TO_SW_PO1_101.231_Gi1/4 Traffic,10946
{ill-sw-tp-192.168.101.231} (192.168.101.231) [CISCO-WS-C3560X-48T-S] @Rack_L16 [TP-GF],5132,Uptime,5135
{ill-sw-tp-192.168.101.231} (192.168.101.231) [CISCO-WS-C3560X-48T-S] @Rack_L16 [TP-GF],5132,CPU Load,5181
{ill-sw-tp-192.168.101.231} (192.168.101.231) [CISCO-WS-C3560X-48T-S] @Rack_L16 [TP-GF],5132,Syslog Receiver,5195
{ill-sw-tp-192.168.101.231} (192.168.101.231) [CISCO-WS-C3560X-48T-S] @Rack_L16 [TP-GF],5132,System Health CPU,6659
{ill-sw-tp-192.168.101.231} (192.168.101.231) [CISCO-WS-C3560X-48T-S] @Rack_L16 [TP-GF],5132,System Health Fans,6661
{ill-sw-tp-192.168.101.231} (192.168.101.231) [CISCO-WS-C3560X-48T-S] @Rack_L16 [TP-GF],5132,System Health Memory,6663
{ill-sw-tp-192.168.101.231} (192.168.101.231) [CISCO-WS-C3560X-48T-S] @Rack_L16 [TP-GF],5132,System Health Power Supplies,6662
{ill-sw-tp-192.168.101.231} (192.168.101.231) [CISCO-WS-C3560X-48T-S] @Rack_L16 [TP-GF],5132,System Health Temperatures,6660
{ill-sw-tp-192.168.101.231} (192.168.101.231) [CISCO-WS-C3560X-48T-S] @Rack_L16 [TP-GF],5132,Gi1/3 to Gi1/3_ill-sw-tp-192.168.101.232,9925
{ill-sw-tp-192.168.101.231} (192.168.101.231) [CISCO-WS-C3560X-48T-S] @Rack_L16 [TP-GF],5132,Gi1/4 to Gi1/4_ill-sw-tp-192.168.101.232,9926
{ill-sw-tp-192.168.101.231} (192.168.101.231) [CISCO-WS-C3560X-48T-S] @Rack_L16 [TP-GF],5132,MICROTIK_101.225_SFPPLUS1 Traffic,10442
{ill-sw-tp-192.168.101.231} (192.168.101.231) [CISCO-WS-C3560X-48T-S] @Rack_L16 [TP-GF],5132,UPLINK_TO_LKP_RACK-K14_FW Traffic,10464
{ill-sw-tp-192.168.101.231} (192.168.101.231) [CISCO-WS-C3560X-48T-S] @Rack_L16 [TP-GF],5132,System Health Currents,10914
{ill-sw-tp-192.168.101.231} (192.168.101.231) [CISCO-WS-C3560X-48T-S] @Rack_L16 [TP-GF],5132,System Health Other,10915
{ill-sw-tp-192.168.101.231} (192.168.101.231) [CISCO-WS-C3560X-48T-S] @Rack_L16 [TP-GF],5132,System Health Voltages,10913
{ill-sw-tp-192.168.101.231} (192.168.101.231) [CISCO-WS-C3560X-48T-S] @Rack_L16 [TP-GF],5132,(10147) SW_TO_SW_PO1_101.232_Gi1/3 Traffic,10943
{ill-sw-tp-192.168.101.231} (192.168.101.231) [CISCO-WS-C3560X-48T-S] @Rack_L16 [TP-GF],5132,(10148) SW_TO_SW_PO1_101.232_Gi1/4 Traffic,10944
{mgmt-tp-192-168-101-250} (192.168.101.250) [CISCO-SG350-28-K9] @Rack_B4 [TP-1st Floor],2303,Uptime,2435
{mgmt-tp-192-168-101-250} (192.168.101.250) [CISCO-SG350-28-K9] @Rack_B4 [TP-1st Floor],2303,Syslog Receiver,2782
{mgmt-tp-192-168-101-250} (192.168.101.250) [CISCO-SG350-28-K9] @Rack_B4 [TP-1st Floor],2303,CPU Load,2900
{mgmt-tp-192-168-101-250} (192.168.101.250) [CISCO-SG350-28-K9] @Rack_B4 [TP-1st Floor],2303,gi3(003) to Eth1(009)_isp-wr-tp-192-168-101-221,4688
{mgmt-tp-192-168-101-250} (192.168.101.250) [CISCO-SG350-28-K9] @Rack_B4 [TP-1st Floor],2303,gi3(004) to Eth1(009)_isp-wr-tp-192-168-101-222,4689
{mgmt-tp-192-168-101-250} (192.168.101.250) [CISCO-SG350-28-K9] @Rack_B4 [TP-1st Floor],2303,gi13(013) to port1_Server_101.21,4684
{mgmt-tp-192-168-101-250} (192.168.101.250) [CISCO-SG350-28-K9] @Rack_B4 [TP-1st Floor],2303,gi14(014) to port2_Server_101.21,4685
{mgmt-tp-192-168-101-251} (192.168.101.251) [CISCO-WS-C3850-24T] @Rack_L16 [TP-GF],2825,Uptime,2830
{mgmt-tp-192-168-101-251} (192.168.101.251) [CISCO-WS-C3850-24T] @Rack_L16 [TP-GF],2825,System Health CPU,2891
{mgmt-tp-192-168-101-251} (192.168.101.251) [CISCO-WS-C3850-24T] @Rack_L16 [TP-GF],2825,System Health Fans,2893
{mgmt-tp-192-168-101-251} (192.168.101.251) [CISCO-WS-C3850-24T] @Rack_L16 [TP-GF],2825,System Health Memory,2892
{mgmt-tp-192-168-101-251} (192.168.101.251) [CISCO-WS-C3850-24T] @Rack_L16 [TP-GF],2825,System Health Power Supplies,2894
{mgmt-tp-192-168-101-251} (192.168.101.251) [CISCO-WS-C3850-24T] @Rack_L16 [TP-GF],2825,System Health Temperatures,2895
{mgmt-tp-192-168-101-251} (192.168.101.251) [CISCO-WS-C3850-24T] @Rack_L16 [TP-GF],2825,Syslog Receiver,2896
{mgmt-tp-192-168-101-251} (192.168.101.251) [CISCO-WS-C3850-24T] @Rack_L16 [TP-GF],2825,Gi1/0/13(20) to Gi1/0/46_mgmt-tp-10-112-11-201,3056
{mgmt-tp-192-168-101-251} (192.168.101.251) [CISCO-WS-C3850-24T] @Rack_L16 [TP-GF],2825,Gi1/0/14(21) to Gi1/0/46_mgmt-tp-10-112-11-203,3057
{mgmt-tp-192-168-101-251} (192.168.101.251) [CISCO-WS-C3850-24T] @Rack_L16 [TP-GF],2825,Gi1/0/23(40) to Gi1/0/40_mgmt-jp-192-168-99-251,8192
{mgmt-tp-192-168-101-252} (192.168.101.252) [CISCO--WS-C3850-48P] @Rack_L15 [TP-GF],2826,Uptime,2829
{mgmt-tp-192-168-101-252} (192.168.101.252) [CISCO--WS-C3850-48P] @Rack_L15 [TP-GF],2826,System Health CPU,2886
{mgmt-tp-192-168-101-252} (192.168.101.252) [CISCO--WS-C3850-48P] @Rack_L15 [TP-GF],2826,System Health Fans,2888
{mgmt-tp-192-168-101-252} (192.168.101.252) [CISCO--WS-C3850-48P] @Rack_L15 [TP-GF],2826,System Health Memory,2887
{mgmt-tp-192-168-101-252} (192.168.101.252) [CISCO--WS-C3850-48P] @Rack_L15 [TP-GF],2826,System Health Power Supplies,2889
{mgmt-tp-192-168-101-252} (192.168.101.252) [CISCO--WS-C3850-48P] @Rack_L15 [TP-GF],2826,System Health Temperatures,2890
{mgmt-tp-192-168-101-252} (192.168.101.252) [CISCO--WS-C3850-48P] @Rack_L15 [TP-GF],2826,Syslog Receiver,2975
{mgmt-tp-192-168-101-252} (192.168.101.252) [CISCO--WS-C3850-48P] @Rack_L15 [TP-GF],2826,(004) GigabitEthernet1/0/2 Traffic,3060
{mgmt-tp-192-168-101-252} (192.168.101.252) [CISCO--WS-C3850-48P] @Rack_L15 [TP-GF],2826,(005) UPLINK_192.168.101.233_MGMT Traffic,3061
{mgmt-tp-192-168-101-252} (192.168.101.252) [CISCO--WS-C3850-48P] @Rack_L15 [TP-GF],2826,Gi1/0/13(015) to Gi1/0/46_mgmt-tp-10-112-11-202,3058
{mgmt-tp-192-168-101-252} (192.168.101.252) [CISCO--WS-C3850-48P] @Rack_L15 [TP-GF],2826,Gi1/0/14(016) to Gi1/0/46_mgmt-tp-10-112-11-204,3059
{mgmt-tp-192-168-101-252} (192.168.101.252) [CISCO--WS-C3850-48P] @Rack_L15 [TP-GF],2826,Gi1/0/23 to Gi1/0/40_mgmt-jp-192-168-99-252,8193
{mgmt-tp-192-168-101-241} (192.168.101.241) [CISCO-WS-C3560G-48TS] @Rack_L16 [TP-GF],3390,(5001) Port-channel1 Traffic,3529
{mgmt-tp-192-168-101-241} (192.168.101.241) [CISCO-WS-C3560G-48TS] @Rack_L16 [TP-GF],3390,Syslog Receiver,3530
{mgmt-tp-192-168-101-241} (192.168.101.241) [CISCO-WS-C3560G-48TS] @Rack_L16 [TP-GF],3390,System Health CPU,6723
{mgmt-tp-192-168-101-241} (192.168.101.241) [CISCO-WS-C3560G-48TS] @Rack_L16 [TP-GF],3390,System Health Currents,6729
{mgmt-tp-192-168-101-241} (192.168.101.241) [CISCO-WS-C3560G-48TS] @Rack_L16 [TP-GF],3390,System Health Fans,6725
{mgmt-tp-192-168-101-241} (192.168.101.241) [CISCO-WS-C3560G-48TS] @Rack_L16 [TP-GF],3390,System Health Memory,6727
{mgmt-tp-192-168-101-241} (192.168.101.241) [CISCO-WS-C3560G-48TS] @Rack_L16 [TP-GF],3390,System Health Other,6730
{mgmt-tp-192-168-101-241} (192.168.101.241) [CISCO-WS-C3560G-48TS] @Rack_L16 [TP-GF],3390,System Health Power Supplies,6726
{mgmt-tp-192-168-101-241} (192.168.101.241) [CISCO-WS-C3560G-48TS] @Rack_L16 [TP-GF],3390,System Health Temperatures,6724
{mgmt-tp-192-168-101-241} (192.168.101.241) [CISCO-WS-C3560G-48TS] @Rack_L16 [TP-GF],3390,System Health Voltages,6728
{mgmt-tp-192-168-101-241} (192.168.101.241) [CISCO-WS-C3560G-48TS] @Rack_L16 [TP-GF],3390,Gi0/18(10118) to (101.100)_idrac_192.168.101.201,7975
{mgmt-tp-192-168-101-241} (192.168.101.241) [CISCO-WS-C3560G-48TS] @Rack_L16 [TP-GF],3390,Gi0/21(10121) to Port1_fws-tp-192-168-101-1,7976
{mgmt-tp-192-168-101-242} (192.168.101.242) [CISCO-WS-C3560G-48PS] @Rack_L15 [TP-GF],3391,(5001) Port-channel1 Traffic,3540
